date,close
2013-04-01,1.0
2013-04-02,1.0
2013-04-03,100.074
2013-04-11,100.106
2013-04-12,100.129
2013-04-17,100.15
2013-04-18,100.157
2013-04-19,100.176
2013-04-22,100.183
2013-04-23,100.189
2013-04-24,100.194
2013-04-25,100.199
2013-04-26,100.248
2013-05-02,100.25
2013-05-03,100.258
2013-05-06,100.26
2013-05-07,100.266
2013-05-08,100.268
2013-05-09,100.285
2013-05-10,100.301
2013-05-13,100.305
2013-05-14,100.311
2013-05-15,100.317
2013-05-16,100.323
2013-05-17,100.345
2013-05-20,100.351
2013-05-21,100.362
2013-05-22,100.371
2013-05-23,100.378
2013-05-24,100.4
2013-05-27,100.404
2013-05-28,100.412
2013-05-29,100.419
2013-05-30,100.426
2013-05-31,100.45
2013-06-03,100.455
2013-06-04,100.463
2013-06-05,100.473
2013-06-06,100.48
2013-06-07,100.524
2013-06-13,100.531
2013-06-14,100.574
2013-06-17,100.579
2013-06-18,100.587
2013-06-19,100.594
2013-06-20,100.601
2013-06-21,100.626
2013-06-24,100.633
2013-06-25,100.65
2013-06-26,100.667
2013-06-27,100.684
2013-06-28,100.736
2013-06-30,100.736
2013-07-01,100.753
2013-07-02,100.77
2013-07-03,100.786
2013-07-04,100.803
2013-07-05,100.86
2013-07-08,100.88
2013-07-09,100.897
2013-07-10,100.914
2013-07-11,100.931
2013-07-12,100.985
2013-07-15,101.002
2013-07-16,101.019
2013-07-17,101.037
2013-07-18,101.055
2013-07-19,101.108
2013-07-22,101.123
2013-07-23,101.14
2013-07-24,101.158
2013-07-25,101.17
2013-07-26,101.206
2013-07-29,101.218
2013-07-30,101.23
2013-07-31,101.243
2013-08-01,101.255
2013-08-02,101.292
2013-08-05,101.304
2013-08-06,101.316
2013-08-07,101.32
2013-08-08,101.332
2013-08-09,101.369
2013-08-12,101.381
2013-08-13,101.394
2013-08-14,101.406
2013-08-15,101.412
2013-08-16,101.449
2013-08-19,101.461
2013-08-20,101.474
2013-08-21,101.486
2013-08-22,101.499
2013-08-23,101.536
2013-08-26,101.547
2013-08-27,101.574
2013-08-28,101.586
2013-08-29,101.597
2013-08-30,101.632
2013-09-02,101.643
2013-09-03,101.655
2013-09-04,101.666
2013-09-05,101.678
2013-09-06,101.713
2013-09-09,101.724
2013-09-10,101.736
2013-09-11,101.747
2013-09-12,101.759
2013-09-13,101.794
2013-09-16,101.807
2013-09-17,101.819
2013-09-18,101.878
2013-09-23,101.887
2013-09-24,101.899
2013-09-25,101.912
2013-09-26,101.924
2013-09-27,101.964
2013-09-30,102.066
2013-10-08,102.079
2013-10-09,102.092
2013-10-10,102.105
2013-10-11,102.144
2013-10-14,102.157
2013-10-15,102.169
2013-10-16,102.181
2013-10-17,102.193
2013-10-18,102.228
2013-10-21,102.24
2013-10-22,102.251
2013-10-23,102.262
2013-10-24,102.274
2013-10-25,102.309
2013-10-28,102.322
2013-10-29,102.335
2013-10-30,102.348
2013-10-31,102.361
2013-11-01,102.4
2013-11-04,102.413
2013-11-05,102.426
2013-11-06,102.439
2013-11-07,102.452
2013-11-08,102.492
2013-11-11,102.504
2013-11-12,102.517
2013-11-13,102.53
2013-11-14,102.543
2013-11-15,102.582
2013-11-18,102.595
2013-11-19,102.609
2013-11-20,102.622
2013-11-21,102.635
2013-11-22,102.674
2013-11-25,102.686
2013-11-26,102.699
2013-11-27,102.713
2013-11-28,102.727
2013-11-29,102.767
2013-12-02,102.779
2013-12-03,102.793
2013-12-04,102.807
2013-12-05,102.82
2013-12-06,102.861
2013-12-09,102.874
2013-12-10,102.888
2013-12-11,102.902
2013-12-12,102.915
2013-12-13,102.956
2013-12-16,102.969
2013-12-17,102.983
2013-12-18,102.998
2013-12-19,103.012
2013-12-20,103.058
2013-12-23,103.074
2013-12-24,103.09
2013-12-25,103.106
2013-12-26,103.122
2013-12-27,103.172
2013-12-30,103.188
2013-12-31,103.226
2014-01-02,103.243
2014-01-03,103.292
2014-01-06,103.308
2014-01-07,103.324
2014-01-08,103.34
2014-01-09,103.356
2014-01-10,103.403
2014-01-13,103.419
2014-01-14,103.435
2014-01-15,103.451
2014-01-16,103.466
2014-01-17,103.511
2014-01-20,103.525
2014-01-21,103.545
2014-01-22,103.562
2014-01-23,103.579
2014-01-24,103.631
2014-01-27,103.647
2014-01-28,103.664
2014-01-29,103.68
2014-01-30,103.814
2014-02-07,103.864
2014-02-10,103.88
2014-02-11,103.897
2014-02-12,103.914
2014-02-13,103.93
2014-02-14,103.98
2014-02-17,103.996
2014-02-18,104.011
2014-02-19,104.022
2014-02-20,104.036
2014-02-21,104.075
2014-02-24,104.091
